search_keyword,product_id,title,price,status_code,status,location,registered_at,product_url,description,model,model_source,detail_status
브레짜 분유,220259835,베이비브레짜 분유제조기 새상품 판매합니다(가격내림),230000,3,판매완료,,2025-10-17 12:35:43,https://web.joongna.com/product/220259835,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,220729890,베이비 브레짜 자동분유제조기,69000,3,판매완료,지동,2025-10-15 14:49:22,https://web.joongna.com/product/220729890,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,220694312,브레짜분유제조기,35000,3,판매완료,,2025-10-14 15:47:55,https://web.joongna.com/product/220694312,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,220682088,베이비브레짜 분유제조기 미개봉,150000,3,판매완료,동문동,2025-10-14 10:05:49,https://web.joongna.com/product/220682088,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,220547623,베이비브레짜 분유메이커,35000,3,판매완료,,2025-10-10 15:40:47,https://web.joongna.com/product/220547623,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,220518399,분유제조기 베이비브레짜,90000,3,판매완료,금곡동,2025-10-09 18:18:05,https://web.joongna.com/product/220518399,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,220493871,브레짜 분유제조기 신형,120000,3,판매완료,,2025-10-08 22:49:28,https://web.joongna.com/product/220493871,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,220157535,베이비브레짜 화이트 분유제조기,100000,3,판매완료,창릉동,2025-09-27 20:15:01,https://web.joongna.com/product/220157535,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,220128080,브레짜 분유제조기,70000,3,판매완료,휘경제1동,2025-09-26 22:25:08,https://web.joongna.com/product/220128080,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,218470063,베이비브레짜 자동분유제조기 개봉 새상품,140000,3,판매완료,여의동,2025-09-20 21:04:57,https://web.joongna.com/product/218470063,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,219810509,브레짜 분유제조기 신형 프로어드밴스(25.09),250000,0,판매중,잠실본동,2025-09-20 00:30:04,https://web.joongna.com/product/219810509,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,219373373,브레짜 분유제조기 포뮬라 프로 어드밴스드 (정품 & 설명서 포함),60000,0,판매중,,2025-09-13 11:51:50,https://web.joongna.com/product/219373373,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,219154113,25년 5월 구매 미사용 브레짜 분유제조기,190000,3,판매완료,,2025-09-09 21:42:27,https://web.joongna.com/product/219154113,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,219068689,베이비브레짜 분유제조기 미개봉 새상품,210000,3,판매완료,,2025-09-08 16:14:21,https://web.joongna.com/product/219068689,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,219040254,브레짜 분유제조기,40000,3,판매완료,,2025-09-08 09:12:36,https://web.joongna.com/product/219040254,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,218920942,새상품 분유제조기 베이비 브레짜 분유제조기 포뮬라 프로 어드밴스드 미개봉,190000,3,판매완료,구의제1동,2025-09-06 09:41:12,https://web.joongna.com/product/218920942,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,218885290,브레짜 분유제조기,50000,0,판매중,,2025-09-05 16:05:46,https://web.joongna.com/product/218885290,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,218711500,베이비브레짜 신형 자동 분유제조기,250000,3,판매완료,,2025-09-02 21:56:32,https://web.joongna.com/product/218711500,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,218500598,베이비브레짜 분유제조기 25년도 구입. 깔때기 3개,99000,3,판매완료,,2025-08-30 16:02:54,https://web.joongna.com/product/218500598,,FORMULA_PRO,text_variant,not_requested
