search_keyword,product_id,title,price,status_code,status,location,registered_at,product_url
브레짜 분유,222636420,베이비브레짜 분유제조기(새제품),180000,3,판매완료,반포1동,2025-12-19 23:35:22,https://web.joongna.com/product/222636420
브레짜 분유,223160698,[택포3만원] 베이비브레짜 분유제조기,30000,3,판매완료,,2025-12-19 23:05:05,https://web.joongna.com/product/223160698
브레짜 분유,222999817,"베이비브레짜 분유제조기, 젖병세척기",420000,3,판매완료,양덕1동,2025-12-15 19:26:17,https://web.joongna.com/product/222999817
브레짜 분유,222994739,베이비브레짜 분유제조기,30000,3,판매완료,왕십리제2동,2025-12-15 17:19:11,https://web.joongna.com/product/222994739
브레짜 분유,222526017,베이비브레짜 분유제조기 차콜,180000,3,판매완료,송월동,2025-12-15 17:08:28,https://web.joongna.com/product/222526017
브레짜 분유,222699255,베이비브레짜 포뮬러 프로 어드밴스드 분유제조기,200000,3,판매완료,구로제1동,2025-12-11 19:41:12,https://web.joongna.com/product/222699255
브레짜 분유,222715827,베이비 브레짜 분유제조기,32000,3,판매완료,회천4동,2025-12-08 10:22:54,https://web.joongna.com/product/222715827
브레짜 분유,222704370,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,100000,0,판매중,동춘1동,2025-12-07 21:55:01,https://web.joongna.com/product/222704370
브레짜 분유,222690777,베이비 브레짜 분유제조기,100000,3,판매완료,한남동,2025-12-07 15:52:37,https://web.joongna.com/product/222690777
브레짜 분유,222549450,베이비브레짜 분유제조기+깔대기2개추가 (새상품),190000,0,판매중,일광읍,2025-12-03 16:35:28,https://web.joongna.com/product/222549450
브레짜 분유,221833637,[미개봉] 베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,200000,3,판매완료,삼송1동,2025-12-01 08:00:05,https://web.joongna.com/product/221833637
브레짜 분유,222095417,(미개봉새상품) 브레짜 분유 제조기 + 깔대기2,250000,0,판매중,배곧1동,2025-11-30 16:16:43,https://web.joongna.com/product/222095417
브레짜 분유,222397914,베이비브레짜 분유제조기 (깔대기 3개),30000,3,판매완료,자양제1동,2025-11-29 16:53:03,https://web.joongna.com/product/222397914
브레짜 분유,222293601,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,200000,0,판매중,,2025-11-26 18:32:45,https://web.joongna.com/product/222293601
브레짜 분유,143353346,베이비브레짜 분유제조기 팝니다!!!,130000,0,판매중,,2025-11-25 21:39:40,https://web.joongna.com/product/143353346
브레짜 분유,222163652,새제품/풀구성)베이비브레짜 분유제조기 + 젖병세척기,500000,3,판매완료,퇴계원읍,2025-11-23 12:47:43,https://web.joongna.com/product/222163652
브레짜 분유,222158607,베이비브레짜 분유제조기 소독기,150000,3,판매완료,덕이동,2025-11-23 10:15:32,https://web.joongna.com/product/222158607
브레짜 분유,222146733,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,200000,0,판매중,매교동,2025-11-22 21:16:58,https://web.joongna.com/product/222146733
브레짜 분유,222136623,(새상품급) 베이비브레짜 포뮬라 프로 어드밴스드 분유제조기 판매합니다!!,150000,3,판매완료,,2025-11-22 16:27:58,https://web.joongna.com/product/222136623
브레짜 분유,221203338,베이비 브레짜 분유 제조기 (분유통2개 깔때기2개,140000,3,판매완료,미사2동,2025-11-18 11:05:20,https://web.joongna.com/product/221203338
