search_keyword,product_id,title,price,status_code,status,condition,location,free_shipping,num_faved,num_comment,update_time,update_timestamp,tag,category_id,product_url,description,model,model_source,detail_status
미닉스 음식물처리기,391403543,미닉스 더 플렌더 음식물 처리기 판매(MNFD-100G),240000,0,판매중,중고,경기도 용인시 처인구 동부동,False,14,0,2026-02-24 21:57:09,1771937829,,610600012,https://m.bunjang.co.kr/products/391403543,,MNFD-100G,text_code,not_requested
미닉스 음식물처리기,379990622,미닉스 더 플랜더 음식물처리기(내솥새거!!),285000,0,판매중,중고,서울특별시 영등포구 여의동,False,13,0,2026-01-19 17:52:32,1768812752,,610600012,https://m.bunjang.co.kr/products/379990622,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,375053699,미닉스 음식물처리기 더 플렌더 프로 미개봉 상품 판매합니다,340000,1,예약중,새상품,경기도 부천시 원미구 상3동,True,3,0,2025-12-22 17:36:58,1766392618,미닉스 미닉스음식물처리기 음식물분쇄기 쓰레기 음식물쓰레기,610600012,https://m.bunjang.co.kr/products/375053699,,THE_PLENDER_PRO,text_variant,not_requested
미닉스 음식물처리기,374158260,미닉스 더플랜더 PRO + 여분 필터,330000,0,판매중,중고,경기도 수원시 팔달구 인계동,True,2,0,2025-12-06 21:44:00,1765025040,미닉스 더플랜더 음식물 처리기,610600012,https://m.bunjang.co.kr/products/374158260,,THE_PLENDER_PRO,text_variant,not_requested
미닉스 음식물처리기,372210706,미닉스 더플렌더 프로 음식물 처리기(미사용 세제품),400000,0,판매중,새상품,서울특별시 강서구 가양제3동,False,1,0,2025-11-28 18:05:37,1764320737,미닉스음식물처리기 미닉스 음식물처리기 가전,610600012,https://m.bunjang.co.kr/products/372210706,,THE_PLENDER_PRO,text_variant,not_requested
미닉스 음식물처리기,369742221,미닉스 더 플렌더 음식물처리기,400000,0,판매중,새상품,,True,1,0,2025-11-16 21:25:01,1763295901,,610600012,https://m.bunjang.co.kr/products/369742221,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,359142744,미닉스 더플렌더 프로,360000,1,예약중,새상품,전북특별자치도 전주시 완산구 삼천3동,True,3,0,2025-10-03 14:09:47,1759468187,미닉스음식물처리기 미닉스더플렌더 음식물처리기 미닉스,610600012,https://m.bunjang.co.kr/products/359142744,,THE_PLENDER_PRO,text_variant,not_requested
미닉스 음식물처리기,352931179,미닉스 음식물처리기 새거,400000,0,판매중,새상품,,True,3,0,2025-08-28 02:08:26,1756314506,,610600012,https://m.bunjang.co.kr/products/352931179,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,425612678,미닉스 음식물 처리기,215000,3,판매완료,새상품,충청남도 천안시 서북구 입장면,False,0,0,2026-08-26 09:48:47,1787705327,,610600012,https://m.bunjang.co.kr/products/425612678,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,424921702,[음식물처리기] 미닉스 더플렌더 Max 건조분쇄  그레이지 MNFD-200G 가정용-115,280000,3,판매완료,중고,,True,0,0,2026-08-20 13:42:37,1787200957,,610600012,https://m.bunjang.co.kr/products/424921702,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,424821991,[음식물처리기] 미닉스 더플렌더 Max 건조분쇄 그레이지 MNFD-200G,280000,3,판매완료,중고,,True,0,0,2026-08-19 16:43:59,1787125439,미닉스 더플렌더 MAX 음식물처리기 건조분쇄,610600012,https://m.bunjang.co.kr/products/424821991,,MNFD-200G,text_code,not_requested
