platform,source_file,product_id,search_keyword,model,title,price,reference_median,robust_lower,robust_upper,reference_count,action,reason,product_url
joonggonara,dyson_vacuum_products.csv,223244339,다이슨 청소기,V6,(정품) (DYSON) 다이슨 V6 무선 청소기,180000,25000,0,95000,146,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/223244339
joonggonara,dyson_vacuum_products.csv,222635838,다이슨 청소기,V15S,다이슨 프리미엄 디텍트 서브마린 물걸레+진공 무선청소기 V15S / 옐로니켈,700000,50000,0,620000,1122,제외,가격 이상치-복수상품,https://web.joongna.com/product/222635838
joonggonara,dyson_vacuum_products.csv,222290415,다이슨 청소기,V7,다이슨 V7 무선청소기,890000,30000,0,170000,120,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/222290415
joonggonara,dyson_vacuum_products.csv,221995139,다이슨 청소기,V6,다이슨 V6 무선청소기,300000,25000,0,95000,146,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/221995139
joonggonara,dyson_vacuum_products.csv,221995095,다이슨 청소기,V6,다이슨 V6 무선청소기,300000,25000,0,95000,146,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/221995095
joonggonara,dyson_vacuum_products.csv,219950465,다이슨 청소기,GEN5DETECT,다이슨청소기 젠5,700000,50000,0,620000,1122,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/219950465
joonggonara,dyson_vacuum_products.csv,221715682,다이슨 청소기,V6,(정품) (DYSON) 다이슨 무선 청소기 V6,100000,25000,0,95000,146,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/221715682
joonggonara,dyson_vacuum_products.csv,207146174,다이슨 청소기,GEN5DETECT,다이슨청소기 젠5,700000,50000,0,620000,1122,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/207146174
joonggonara,dyson_vacuum_products.csv,221606910,다이슨 청소기,V15S,다이슨 V15s 디텍트 서브마린 무선청소기 미개봉 새상품,750000,50000,0,620000,1122,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/221606910
joonggonara,dyson_vacuum_products.csv,221260979,다이슨 청소기,V6,다이슨 V6 무선청소기,100000,25000,0,95000,146,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/221260979
joonggonara,dyson_vacuum_products.csv,219418165,다이슨 청소기,V12S,미개봉 새상품 / 448804-01 dyson 다이슨 V12s 디텍트 슬림 서브마린 컴플리트 무선청소기 새제품 팔아요.,930000,50000,0,620000,1122,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/219418165
joonggonara,dyson_vacuum_products.csv,213091013,다이슨 청소기,제품군 공통,다이슨 로봇청소기,770000,50000,0,710000,158,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/213091013
joonggonara,dyson_vacuum_products.csv,219889966,다이슨 청소기,SV23,다이슨 최상급 청소기 Gen5 디텍트 컴플리드 (블루/코퍼) SV23 판매합니다.,690000,50000,0,620000,1122,제외,가격 이상치-복수상품,https://web.joongna.com/product/219889966
joonggonara,dyson_vacuum_products.csv,219798305,다이슨 청소기,V6,다이슨 V6 플러피 무선 청소기,110000,25000,0,95000,146,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/219798305
joonggonara,dyson_vacuum_products.csv,217994345,다이슨 청소기,V6,다이슨 V6 무선 청소기,100000,25000,0,95000,146,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/217994345
joonggonara,dyson_vacuum_products.csv,218421415,다이슨 청소기,360_VIS_NAV,다이슨 로봇청소기 360 비즈 나브,900000,415000,0,867000,14,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/218421415
joonggonara,medicube_booster_pro_products.csv,227772467,메디큐브 부스터 프로,BOOSTER_PRO,미개봉 새상품 메디큐브 에이지알 부스터 프로 마이멜로디,790000,180000,0,410000,472,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/227772467
joonggonara,medicube_booster_pro_products.csv,227233707,메디큐브 부스터 프로,BOOSTER_PRO,거의새것 메디큐브 에이지알 부스터 프로 헬로키티,650000,180000,0,410000,472,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/227233707
joonggonara,medicube_booster_pro_products.csv,227348062,메디큐브 부스터 프로,BOOSTER_PRO,거의 새것 메디큐브 에이지알 부스터 프로 쿠로미 에디션,800000,180000,0,410000,472,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/227348062
joonggonara,medicube_booster_pro_products.csv,227347810,메디큐브 부스터 프로,BOOSTER_PRO,미개봉 새상품 메디큐브 에이지알 부스터 프로 쿠로미 에디션,950000,180000,0,410000,472,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/227347810
joonggonara,medicube_booster_pro_products.csv,227818551,메디큐브 부스터 프로,BOOSTER_PRO,메디큐브 에이지알 부스터 프로 헬로키티 에디션,500000,180000,0,410000,472,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/227818551
joonggonara,medicube_booster_pro_products.csv,224464704,메디큐브 부스터 프로,BOOSTER_PRO_MINI,[새상품] 메디큐브 부스터프로 미니 플러스 마이멜로디 에디션 2개,180000,79000,0,176250,102,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/224464704
joonggonara,minix_food_processor_products.csv,230390254,미닉스 음식물처리기,THE_PLENDER,미닉스 음식물 처리기,792000,270000,0,636944,52,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/230390254
joonggonara,minix_food_processor_products.csv,227536262,미닉스 음식물처리기,THE_PLENDER_MAX,미닉스 더플렌더 max 3L 음식물처리기,850000,330000,100000,572500,42,제외,가격 이상치-복수상품,https://web.joongna.com/product/227536262
joonggonara,pulio_massage_products.csv,229526461,풀리오 마사지기,NECK_SHOULDER_V2,풀리오 목어깨 마사지기 넥플러,160000,65000,0,131717,51,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/229526461
joonggonara,pulio_massage_products.csv,229245012,풀리오 마사지기,NECK_SHOULDER,급처)풀리오 마사지매트+손 마사지기+목 어깨 마사지기,180000,59500,0,131000,42,제외,가격 이상치-복수상품,https://web.joongna.com/product/229245012
joonggonara,pulio_massage_products.csv,228468128,풀리오 마사지기,CALF_V2,풀리오 목어깨 마사지기 V2 + 종아리 마사지기 V3,150000,69000,8000,120000,25,제외,가격 이상치-복수상품,https://web.joongna.com/product/228468128
joonggonara,pulio_massage_products.csv,225320911,풀리오 마사지기,BACK_PULLER,풀리오 허벅지 마사지기.백풀러 허리 마사지기 팝니다. [판매완료],180000,65000,0,165076,15,제외,가격 이상치-복수상품,https://web.joongna.com/product/225320911
joonggonara,pulio_massage_products.csv,221160549,풀리오 마사지기,CALF_V2,풀리오 종아리/목어깨 마사지기 V2 미개봉 새상품,195000,69000,8000,120000,25,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/221160549
joonggonara,pulio_massage_products.csv,218719639,풀리오 마사지기,NP001,풀리오 백플러 NP001 마사지기,270000,75000,0,260000,423,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/218719639
